timestamp_unix,timestamp_polar_ns,sample_index,x_mg,y_mg,z_mg,vm_mg
1778658249.597585,599617212163171520,2700,-1017.0,-5.0,-48.0,1018.14
1778658249.637585,599617212203171520,2700,-1017.0,-8.0,-53.0,1018.41
1778658249.677585,599617212243171520,2700,-1017.0,-11.0,-51.0,1018.34
1778658249.717585,599617212283171520,2700,-1016.0,-8.0,-39.0,1016.78
1778658249.757585,599617212323171520,2700,-1018.0,-5.0,-49.0,1019.19
1778658249.797585,599617212363171520,2700,-1016.0,0.0,-50.0,1017.23
1778658249.837585,599617212403171520,2700,-1016.0,-6.0,-42.0,1016.89
1778658249.877585,599617212443171520,2700,-1018.0,-14.0,-44.0,1019.05
1778658249.917585,599617212483171520,2700,-1016.0,-13.0,-46.0,1017.12
1778658249.957585,599617212523171520,2700,-1017.0,-13.0,-41.0,1017.91
1778658249.997585,599617212563171520,2700,-1018.0,-8.0,-46.0,1019.07
1778658250.037585,599617212603171520,2700,-1016.0,-2.0,-45.0,1017.0
1778658250.077585,599617212643171520,2700,-1016.0,-3.0,-44.0,1016.96
1778658250.117585,599617212683171520,2700,-1017.0,-6.0,-42.0,1017.88
1778658250.157585,599617212723171520,2700,-1017.0,-6.0,-42.0,1017.88
1778658250.197585,599617212763171520,2700,-1017.0,-6.0,-47.0,1018.1
1778658250.237585,599617212803171520,2700,-1017.0,-5.0,-46.0,1018.05
1778658250.277585,599617212843171520,2700,-1017.0,-8.0,-46.0,1018.07
1778658250.317585,599617212883171520,2700,-1017.0,-6.0,-43.0,1017.93
1778658250.357585,599617212923171520,2700,-1016.0,-6.0,-43.0,1016.93
1778658250.397585,599617212963171520,2700,-1017.0,-7.0,-52.0,1018.35
1778658250.437585,599617213003171520,2700,-1018.0,-3.0,-49.0,1019.18
1778658250.477585,599617213043171520,2700,-1017.0,-5.0,-52.0,1018.34
1778658250.517585,599617213083171520,2700,-1015.0,-6.0,-42.0,1015.89
1778658250.557585,599617213123171520,2700,-1017.0,-6.0,-41.0,1017.84
1778658250.597069,599617213143692864,2736,-1017.0,-4.0,-46.0,1018.05
1778658250.637069,599617213183692864,2736,-1017.0,-5.0,-51.0,1018.29
1778658250.677069,599617213223692864,2736,-1016.0,-5.0,-47.0,1017.1
1778658250.717069,599617213263692864,2736,-1014.0,-3.0,-43.0,1014.92
1778658250.757069,599617213303692864,2736,-1016.0,-5.0,-50.0,1017.24
1778658250.797069,599617213343692864,2736,-1017.0,-4.0,-46.0,1018.05
1778658250.837069,599617213383692864,2736,-1019.0,-1.0,-44.0,1019.95
1778658250.877069,599617213423692864,2736,-1016.0,0.0,-49.0,1017.18
1778658250.917069,599617213463692864,2736,-1013.0,-2.0,-44.0,1013.96
1778658250.957069,599617213503692864,2736,-1016.0,-3.0,-45.0,1017.0
1778658250.997069,599617213543692864,2736,-1017.0,-8.0,-53.0,1018.41
1778658251.037069,599617213583692864,2736,-1017.0,-9.0,-58.0,1018.69
1778658251.077069,599617213623692864,2736,-1018.0,-9.0,-52.0,1019.37
